patient,joint,mae_x,mae_y,rmse_x,rmse_y,corr_x,corr_y
TOLFB29,Left_Elbow,0.12276050000000001,0.056648333333333335,0.14627916666666665,0.06926883333333334,0.72836,0.9326323333333333
TOLFB29,Left_Shoulder,0.06367166666666667,0.015242833333333332,0.06938933333333333,0.0177715,0.5787483333333333,0.21048016666666666
TOLFB29,Left_Wrist,0.16070116666666667,0.08151766666666667,0.20005816666666668,0.10266566666666667,0.8055971666666667,0.9652603333333333
TOLFB29,Right_Elbow,0.13178666666666666,0.06125,0.15923166666666666,0.07359333333333333,0.648948,0.921784
TOLFB29,Right_Shoulder,0.024708666666666667,0.014007666666666668,0.0302755,0.016423333333333335,0.46479999999999994,0.20869216666666668
TOLFB29,Right_Wrist,0.263957,0.08384166666666666,0.30648400000000003,0.10757716666666667,0.7745453333333333,0.9471815
TOLFB30,Left_Elbow,0.326373,0.108915,0.3916093333333333,0.13005983333333335,0.24341366666666667,0.45126266666666665
TOLFB30,Left_Shoulder,0.09733449999999999,0.015779166666666667,0.14506133333333335,0.018191333333333334,0.07815433333333331,0.02651583333333334
TOLFB30,Left_Wrist,0.4125448333333333,0.183225,0.4859423333333333,0.21939733333333333,0.5909935000000001,0.7094058333333333
TOLFB30,Right_Elbow,0.293131,0.12762316666666665,0.36259616666666666,0.14540066666666668,0.2509403333333333,0.5647758333333334
TOLFB30,Right_Shoulder,0.12163183333333333,0.017337500000000002,0.165752,0.019677333333333335,0.04074116666666667,-0.005203833333333334
TOLFB30,Right_Wrist,0.4237483333333334,0.18333749999999996,0.48341166666666674,0.22419433333333336,0.574504,0.764396
